,rent,location,bedroom,bathroom,toilet,parking
10185,4500000, Conservation Road Lekki Lagos,4.0,4.0,5.0,3.0
10186,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10187,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10188,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10189,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10192,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10193,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10194,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10195,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10196,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10197,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10198,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10199,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10200,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10201,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10202,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10203,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10204,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10205,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10206,50000, 21 Ogunnusi Road Ogba Ikeja Lagos,4.0,4.0,5.0,3.0
10207,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10208,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10209,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10210,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10213,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10214,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10215,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10216,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10217,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10218,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10219,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10220,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10221,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
