,rent,location,bedroom,bathroom,toilet,parking
0,4500000, Conservation Road Lekki Lagos,4.0,4.0,5.0,3.0
1,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
2,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
3,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
4,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
7,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
8,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
9,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
11,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
12,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
13,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
14,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
15,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
16,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
17,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
18,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
19,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
20,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
21,10500000, Off Bishop Oluwole Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
22,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
23,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
24,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
25,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
28,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
29,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
30,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
31,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
32,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
33,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
34,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
35,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
36,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
37,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
38,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
39,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
40,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
41,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
42,900000, Bakare Estate Agungi Lekki Lagos,1.0,1.0,1.0,0.0
43,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
44,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
45,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
46,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
49,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
50,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
51,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
52,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
53,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
54,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
55,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
56,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
57,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
58,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
59,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
60,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
61,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
62,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
63,10500000, Off Bishop Oluwole Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
64,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
65,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
66,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
67,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
70,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
71,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
72,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
73,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
74,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
75,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
76,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
77,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
78,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
79,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
80,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
81,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
82,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
83,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
84,16100000, Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
85,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
86,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
87,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
88,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
91,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
92,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
93,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
94,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
95,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
96,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
97,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
98,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
99,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
100,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
101,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
102,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
103,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
104,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
105,900000, Bakare Estate Agungi Lekki Lagos,1.0,1.0,1.0,0.0
106,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
107,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
108,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
109,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
112,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
113,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
114,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
115,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
116,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
117,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
118,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
119,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
120,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
121,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
122,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
123,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
124,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
125,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
126,12000000, Off Bourdillon Road Old Ikoyi Ikoyi Lagos,4.0,4.0,5.0,2.0
127,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
128,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
129,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
130,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
133,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
134,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
135,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
136,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
137,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
138,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
139,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
140,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
141,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
142,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
143,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
144,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
145,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
146,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
147,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
148,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
149,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
150,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
151,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
154,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
155,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
156,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
157,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
158,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
159,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
160,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
161,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
162,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
163,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
164,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
165,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
166,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
167,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
168,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
169,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
170,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
171,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
172,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
175,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
176,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
177,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
178,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
179,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
180,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
181,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
182,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
183,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
184,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
185,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
186,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
187,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
188,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
189,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
190,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
191,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
192,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
193,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
196,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
197,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
198,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
199,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
200,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
201,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
202,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
203,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
204,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
205,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
206,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
207,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
208,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
209,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
211,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
212,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
213,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
214,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
217,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
218,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
219,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
220,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
221,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
222,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
223,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
224,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
225,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
226,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
227,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
228,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
229,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
230,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
231,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
232,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
233,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
234,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
235,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
238,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
239,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
240,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
241,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
242,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
243,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
244,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
245,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
246,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
247,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
248,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
249,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
250,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
251,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
252,12000000, Off Bourdillon Road Old Ikoyi Ikoyi Lagos,4.0,4.0,5.0,2.0
253,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
254,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
255,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
256,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
259,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
260,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
261,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
262,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
263,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
264,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
265,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
266,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
267,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
268,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
269,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
270,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
271,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
272,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
273,4500000, Conservation Road Lekki Lagos,4.0,4.0,5.0,3.0
274,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
275,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
276,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
277,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
280,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
281,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
282,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
283,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
284,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
285,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
286,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
287,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
288,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
289,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
290,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
291,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
292,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
293,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
294,16100000, Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
295,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
296,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
297,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
298,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
301,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
302,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
303,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
304,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
305,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
306,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
307,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
308,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
309,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
310,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
311,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
312,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
313,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
314,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
316,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
317,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
318,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
319,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
322,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
323,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
324,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
325,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
326,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
327,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
328,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
329,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
330,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
331,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
332,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
333,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
334,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
335,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
336,16100000, Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
337,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
338,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
339,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
340,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
343,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
344,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
345,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
346,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
347,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
348,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
349,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
350,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
351,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
352,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
353,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
354,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
355,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
356,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
357,10500000, Off Bishop Oluwole Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
358,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
359,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
360,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
361,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
364,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
365,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
366,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
367,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
368,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
369,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
370,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
